Codigo_Mat;Denominacion Material;Centro;Almacen;C-B;LibreUt;Valor_Lut;Calidad;Valor_Cal;Bloqueado;Valor_Blo;Hora;TpMt;TextAlm;TextCent
11003150;NT LAMINADO 62 CM 23GR/M2;1002;2000;M2;44026,08;930334,43;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;2000-Producción;1002-Pharsana Higienico
11003151;NT LAMINADO  76 CM 23 GR/M2;1002;1000;M2;272852,17;5725566,96;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;1000-Materia Prima;1002-Pharsana Higienico
11003151;NT LAMINADO  76 CM 23 GR/M2;1002;1005;M2;145560,87;2895762,36;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;1005-MP Inv Seguridad;1002-Pharsana Higienico
11003151;NT LAMINADO  76 CM 23 GR/M2;1002;2000;M2;24204,35;400629,16;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;2000-Producción;1002-Pharsana Higienico
11003152;ESTUCHE P/COTTON CHICCO 60 PZA;1000;1000;ST;3400,00;15202,88;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZEMP;1000-Materia Prima;1000-Pharsana Valencia
11003152;ESTUCHE P/COTTON CHICCO 60 PZA;1000;2000;ST;8052,00;37876,27;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZEMP;2000-Producción;1000-Pharsana Valencia
11003153;BOLSAS CHICCO MOTAS ALGODON 100;1000;1000;ST;15312,00;463876,22;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZEMP;1000-Materia Prima;1000-Pharsana Valencia
11003154;ESTUCHE P/COTTON CHICCO 100 PZAS;1000;1000;ST;9418,00;182880,25;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZEMP;1000-Materia Prima;1000-Pharsana Valencia
11003154;ESTUCHE P/COTTON CHICCO 100 PZAS;1000;1007;ST;11900,00;195267,00;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZEMP;1007-Rechazado;1000-Pharsana Valencia
11003157;BOLSON PEBD 35X(4+4)X60 - 90MICRAS;1002;1000;ST;2486,00;134533,91;2850,000;132931,94;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;1000-Materia Prima;1002-Pharsana Higienico
11003157;BOLSON PEBD 35X(4+4)X60 - 90MICRAS;1002;2000;ST;65,00;3636,58;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;2000-Producción;1002-Pharsana Higienico
11003161;ETIQUETAS RESELLABLES RIGIDA P/WIPES;1000;1000;ST;381800,00;4348343,48;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;1000-Materia Prima;1000-Pharsana Valencia
11003166;ETIQUETA CHICCO PROMO COTONCITO 60P 3X2;1001;2003;ST;0,00;0,00;0,000;0,00;1316,000;3923,35;20.02.2026 - 22:03:31;ZEMP;2003-Semiterminados;1001-Pharsana Maracay
11003167;ETIQUETA CHICCO PROMO COTONCITO 100P 3X2;1001;2003;ST;0,00;0,00;0,000;0,00;1276,000;3527,26;20.02.2026 - 22:03:31;ZEMP;2003-Semiterminados;1001-Pharsana Maracay
11003180;BIL.SECUREZZA BODYCARE TH CORP 54P MATE;1000;1000;KG;202,60;243142,40;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZEMP;1000-Materia Prima;1000-Pharsana Valencia
11003181;ESTUCHE CHICCO JABON EN BARRA 90 G;1000;1000;ST;74030,00;122903,76;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZEMP;1000-Materia Prima;1000-Pharsana Valencia
11003182;BOLSA PD FRIENDS PROMOPACK 120/80 REG;1002;1006;ST;2000,00;4616,89;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZEMP;1006-MP Obsoleto;1002-Pharsana Higienico
11003182;BOLSA PD FRIENDS PROMOPACK 120/80 REG;1002;2000;ST;1319,00;3063,15;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZEMP;2000-Producción;1002-Pharsana Higienico
11003184;NT FÍLICO BLANCO 17,5 CM  22 GR/M2;1002;1000;M2;25165,91;180932,20;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;1000-Materia Prima;1002-Pharsana Higienico
11003184;NT FÍLICO BLANCO 17,5 CM  22 GR/M2;1002;2000;M2;2621,08;17507,55;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;2000-Producción;1002-Pharsana Higienico
11003187;ETIQUETA FRONTAL CHICCO TALCO 100GRS;1000;1000;ST;16378,00;139346,69;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;1000-Materia Prima;1000-Pharsana Valencia
11003188;ETIQUETA DORSAL CHICCO TALCO 100G;1000;1000;ST;16460,00;75522,68;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;1000-Materia Prima;1000-Pharsana Valencia
11003190;ETIQ FRONTAL CHICCO ACEITE CREMOSO 100;1000;1000;ST;18930,00;132219,78;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;1000-Materia Prima;1000-Pharsana Valencia
11003191;ETIQ DORSAL CHICCO ACEITE CREMOSO 100;1000;1000;ST;18899,00;193426,79;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;1000-Materia Prima;1000-Pharsana Valencia
11003194;BOLSA SZZA CLASSIC L 20UND PROMOCION;1002;1000;ST;8400,00;90680,07;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZEMP;1000-Materia Prima;1002-Pharsana Higienico
11003194;BOLSA SZZA CLASSIC L 20UND PROMOCION;1002;2000;ST;571,00;7104,07;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZEMP;2000-Producción;1002-Pharsana Higienico
11003196;BOLSA SZZA COMFORT M 20UND PROMOCION;1002;1000;ST;14000,00;86646,08;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZEMP;1000-Materia Prima;1002-Pharsana Higienico
