Codigo_Mat;Denominacion Material;Centro;Almacen;C-B;LibreUt;Calidad;Bloqueado;Hora;Categoría;Marca;Grupo;Sector
50001054;CHICCO BS MOTAS ALG (12x100UN) PROMO;1001;3000;CS;201,00;0,000;0,000;20.02.2026 - 22:03:20;ALGODONES PT;Chicco;PH-Motas De Algodón;Cuidado Personal
50001055;LADY FACE TH DESMAQUILLANTE (24x24UN);1001;3000;CS;372,00;0,000;0,000;20.02.2026 - 22:03:20;TOALLAS HUMEDAS;Lady Face;PH-TH Travel Pack;Cuidado Personal
50001056;LADY FACE TH PREVENIR ACNE (24x24UN);1001;3000;CS;63,00;0,000;0,000;20.02.2026 - 22:03:20;TOALLAS HUMEDAS;Lady Face;PH-TH Travel Pack;Cuidado Personal
50001057;FRIENDS TH INTIMA (24x24UN);1001;3000;CS;26,00;0,000;0,000;20.02.2026 - 22:03:20;TOALLAS HUMEDAS;Friends;PH-TH Travel Pack;Cuidado Personal
50001066;FRIENDS TS ULTRADELGA (36X10UN);1001;3000;CS;660,00;0,000;0,000;20.02.2026 - 22:03:20;ABSORBENTES FEMENINA;Friends;PH-Toalla Sanitaria;Absorbentes
50001067;FRIENDS TS NOCTURNA CON ALAS (36X10UN);1001;3000;CS;184,00;0,000;0,000;20.02.2026 - 22:03:20;ABSORBENTES FEMENINA;Friends;PH-Toalla Sanitaria;Absorbentes
50001069;SECUREZZA BC CREMA DERMO PROTEC(15x130G);1001;3000;CS;19,00;0,000;0,000;20.02.2026 - 22:03:20;HIGIENE PERSONAL;Securezza;PH-Crema Protectoras;Cuidado Personal
50001072;AMY SEC TH 99% AGUA (20x48UN);1000;3000;CS;1130,00;0,000;0,450;20.02.2026 - 22:03:20;TOALLAS HUMEDAS;Amy;PH-TH Flow Pack;Cuidado Personal
50001072;AMY SEC TH 99% AGUA (20x48UN);1001;3000;CS;1232,00;0,000;0,000;20.02.2026 - 22:03:20;TOALLAS HUMEDAS;Amy;PH-TH Flow Pack;Cuidado Personal
50001079;AMY SEC TH 99% AGUA (48x24UN);1000;3000;CS;675,00;0,000;0,438;20.02.2026 - 22:03:20;TOALLAS HUMEDAS;Amy;PH-TH Travel Pack;Cuidado Personal
50001079;AMY SEC TH 99% AGUA (48x24UN);1000;3003;CS;326,00;0,000;0,000;20.02.2026 - 22:03:20;TOALLAS HUMEDAS;Amy;PH-TH Travel Pack;Cuidado Personal
