Codigo_Mat;Denominacion Material;Centro;Almacen;C-B;LibreUt;Valor_Lut;Calidad;Valor_Cal;Bloqueado;Valor_Blo;Hora;TpMt;TextAlm;TextCent
11003022;BOLSA SZZA CLASSIC M REGULAR;1002;1000;ST;22800,00;634956,17;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZEMP;1000-Materia Prima;1002-Pharsana Higienico
11003022;BOLSA SZZA CLASSIC M REGULAR;1002;2000;ST;16146,00;449649,22;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZEMP;2000-Producción;1002-Pharsana Higienico
11003023;BOLSA SZZA CLASSIC L REGULAR;1002;1000;ST;32000,00;362276,82;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZEMP;1000-Materia Prima;1002-Pharsana Higienico
11003023;BOLSA SZZA CLASSIC L REGULAR;1002;2000;ST;2688,00;30431,25;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZEMP;2000-Producción;1002-Pharsana Higienico
11003034;EMP. INDIVIDUAL PD BLANCO 16CM 20GR;1002;1000;KG;516,00;5660,52;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;1000-Materia Prima;1002-Pharsana Higienico
11003044;ETIQ FRONT CHICCO CHAMPU ROMERO 200CC;1000;1000;ST;3088,00;8597,23;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;1000-Materia Prima;1000-Pharsana Valencia
11003045;ETIQ DORSAL CHICCO CHAMPU ROMERO 200CC;1000;1000;ST;3173,00;8423,00;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;1000-Materia Prima;1000-Pharsana Valencia
11003048;LAMINADO IMPRESO CHICCO 220 MM X 23GRS;1002;1000;M2;531430,00;4223598,74;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;1000-Materia Prima;1002-Pharsana Higienico
11003048;LAMINADO IMPRESO CHICCO 220 MM X 23GRS;1002;2000;M2;4817,39;38286,75;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;2000-Producción;1002-Pharsana Higienico
11003051;TELA N/T FILICO BLANCO 160MMX12GRS;1002;1000;M2;311941,67;1523137,58;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;1000-Materia Prima;1002-Pharsana Higienico
11003051;TELA N/T FILICO BLANCO 160MMX12GRS;1002;2000;M2;7800,00;38085,56;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;2000-Producción;1002-Pharsana Higienico
11003051;TELA N/T FILICO BLANCO 160MMX12GRS;1002;2002;M2;1683,33;8219,32;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;2002-Rechazado;1002-Pharsana Higienico
11003052;SIDE PANEL RIGIDO BLANCO 140MM 55GR/M2;1002;1006;M2;16140,00;72367,17;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;1006-MP Obsoleto;1002-Pharsana Higienico
11003052;SIDE PANEL RIGIDO BLANCO 140MM 55GR/M2;1002;2002;M2;0,00;0,00;4732,743;21220,28;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;2002-Rechazado;1002-Pharsana Higienico
11003053;SIDE PANEL STRECH 140MM 100GR/M2;1002;1000;M2;68863,00;8197565,71;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;1000-Materia Prima;1002-Pharsana Higienico
11003053;SIDE PANEL STRECH 140MM 100GR/M2;1002;2000;M2;1930,00;229750,40;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;2000-Producción;1002-Pharsana Higienico
11003059;BOLSA CHICCO PAÑAL NIÑO MED  20 UND;1002;1000;ST;35950,00;90695,69;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZEMP;1000-Materia Prima;1002-Pharsana Higienico
11003059;BOLSA CHICCO PAÑAL NIÑO MED  20 UND;1002;1004;ST;6400,00;16146,10;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZEMP;1004-MP TVUC;1002-Pharsana Higienico
11003059;BOLSA CHICCO PAÑAL NIÑO MED  20 UND;1002;2000;ST;6384,00;16105,74;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZEMP;2000-Producción;1002-Pharsana Higienico
11003063;BOLSA CHICCO PAÑAL DE NIÑO GRANDE 20 U;1002;1000;ST;53500,00;456655,33;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZEMP;1000-Materia Prima;1002-Pharsana Higienico
11003063;BOLSA CHICCO PAÑAL DE NIÑO GRANDE 20 U;1002;2000;ST;11050,00;94318,53;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZEMP;2000-Producción;1002-Pharsana Higienico
11003068;BOLSA CHICCO PAÑAL DE NIÑO XG 20 UND;1002;1000;ST;104850,00;859593,09;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZEMP;1000-Materia Prima;1002-Pharsana Higienico
11003068;BOLSA CHICCO PAÑAL DE NIÑO XG 20 UND;1002;2000;ST;1532,00;12559,82;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZEMP;2000-Producción;1002-Pharsana Higienico
11003076;TELA N/T  FOBICO BLANCO 190MM 15GR(SMMS);1002;1000;M2;311826,66;1399347,72;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;1000-Materia Prima;1002-Pharsana Higienico
11003076;TELA N/T  FOBICO BLANCO 190MM 15GR(SMMS);1002;1005;M2;168953,33;758191,93;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;1005-MP Inv Seguridad;1002-Pharsana Higienico
