Codigo_Mat;Denominacion Material;Centro;Almacen;C-B;LibreUt;Calidad;Bloqueado;Hora;Categoría;Marca;Grupo;TextAlm;TextCent
60000399;CHICCO TETINA PERFECT 2M+ FMED 2PC(6X1);1001;3002;CS;1,17;0,000;0,000;20.02.2026 - 22:03:39;INFANTILES;Chicco Importado;Accesorios;3002-PT Reserva;1001-Pharsana Maracay
60000399;CHICCO TETINA PERFECT 2M+ FMED 2PC(6X1);1001;3016;CS;1,00;0,000;0,000;20.02.2026 - 22:03:39;INFANTILES;Chicco Importado;Accesorios;3016-Mercadería;1001-Pharsana Maracay
60000401;CHICCO TETINA PERFECT 6M+ FALIM 2PC(6X1);1001;3002;CS;3,50;0,000;0,000;20.02.2026 - 22:03:39;INFANTILES;Chicco Importado;Accesorios;3002-PT Reserva;1001-Pharsana Maracay
60000402;CHICCO PROTECTORES LACTANCIA 30PC(12X1);1001;3002;CS;20,92;0,000;0,000;20.02.2026 - 22:03:39;INFANTILES;Chicco Importado;Accesorios;3002-PT Reserva;1001-Pharsana Maracay
60000402;CHICCO PROTECTORES LACTANCIA 30PC(12X1);1001;3016;CS;148,00;0,000;0,000;20.02.2026 - 22:03:39;INFANTILES;Chicco Importado;Accesorios;3016-Mercadería;1001-Pharsana Maracay
60000402;CHICCO PROTECTORES LACTANCIA 30PC(12X1);1001;3018;CS;10,75;0,000;0,000;20.02.2026 - 22:03:39;INFANTILES;Chicco Importado;Accesorios;3018-Rechazado;1001-Pharsana Maracay
51000014;AMY TALCO PARA BEBES (24x200G) EXP;1000;3001;CS;0,29;0,000;0,000;20.02.2026 - 22:03:39;HIGIENE PERSONAL;Amy;PH-Talco;3001-Muestras Gemelas;1000-Pharsana Valencia
51000121;SECUREZZA PROTECTOR DE CAMA (6X10UN) EXP;1002;3001;PAK;1,67;0,000;0,000;20.02.2026 - 22:03:39;INCONTINENCIA;Securezza;PH-Protector de Cama;3001-Muestras Gemelas;1002-Pharsana Higienico
51000124;SECUREZZA COMFORT M REG (6x6UN) EXP;1002;3001;PAK;1,00;0,000;0,000;20.02.2026 - 22:03:39;INCONTINENCIA;Securezza;PH-Protector Incont.;3001-Muestras Gemelas;1002-Pharsana Higienico
51000126;SECUREZZA COMFORT L REG (6x6UN) EXP;1001;3005;PAK;120,00;0,000;0,000;20.02.2026 - 22:03:39;INCONTINENCIA;Securezza;PH-Protector Incont.;3005-Predespacho Val;1001-Pharsana Maracay
51000126;SECUREZZA COMFORT L REG (6x6UN) EXP;1002;3001;PAK;1,83;0,000;0,000;20.02.2026 - 22:03:39;INCONTINENCIA;Securezza;PH-Protector Incont.;3001-Muestras Gemelas;1002-Pharsana Higienico
