Codigo_Mat;Denominacion Material;Centro;Almacen;C-B;LibreUt;Calidad;Bloqueado;Hora;Categoría;Marca;Grupo;Sector;TextAlm;TextCent
40000022;SOBRETAPA PUSH & PULL AMARILLO ACT 26041;1200;2003;PZA;222.525,00;0,000;0,000;13.03.2026 - 08:15:00;SEMITERMINADO;Tapas Push & Pull;AM-Tapas Ampofrasca;Inyección Liviana;2003-Semiterminados;1200-Ampofrasca
40000023;SOBRETAPA PUSH & PULL AZUL ACT 26041;1200;2003;PZA;76.992,50;0,000;0,000;13.03.2026 - 08:15:00;SEMITERMINADO;;;Inyección Liviana;2003-Semiterminados;1200-Ampofrasca
40000025;SOBRETAPA PUSH & PULL VIOLETA;1200;2003;PZA;221133,00;0,000;0,000;20.02.2026 - 22:03:43;SEMITERMINADO;;;Inyección Liviana;2003-Semiterminados;1200-Ampofrasca
40000049;TARRO PARA ENVASE GEL PACK TRANSPARENTE;1200;2003;PZA;14400,00;0,000;0,000;20.02.2026 - 22:03:43;SEMITERMINADO;Tarro Gel Pack;AM-Tapas Ampofrasca;Inyección Liviana;2003-Semiterminados;1200-Ampofrasca
40000332;SOBRETAPA PUSH & PULL TRANSPARENTE;1200;2003;PZA;415000,00;0,000;0,000;20.02.2026 - 22:03:43;SEMITERMINADO;Tapas Push & Pull;AM-Tapas Ampofrasca;Inyección Liviana;2003-Semiterminados;1200-Ampofrasca
40000487;SOBRETAPA PUSH & PULL MARRON;1200;2003;PZA;14000,00;0,000;0,000;20.02.2026 - 22:03:43;SEMITERMINADO;Tapas Push & Pull;AM-Tapas Ampofrasca;Inyección Liviana;2003-Semiterminados;1200-Ampofrasca
40000488;TAPA ROSCA PARA PUSH & PULL MARRON;1200;2003;PZA;2000,00;0,000;0,000;20.02.2026 - 22:03:43;SEMITERMINADO;;;Inyección Liviana;2003-Semiterminados;1200-Ampofrasca
40000507;TAPA ROSCA PARA PUSH & PULL AMARILLA (F);1200;2003;MLL;60,00;0,000;0,000;20.02.2026 - 22:03:43;SEMITERMINADO;;Desperdicio;Desperdicio;2003-Semiterminados;1200-Ampofrasca
70000041;ENV.PET BLANCO COSMETIC 200 ML SENSITIVE;1200;3000;PZA;49206,00;0,000;0,000;20.02.2026 - 22:03:43;ENVASES PT;Cosmetica Sensitive;AM-Cosmética;Inyecto Soplado;3000-ProdTerminado WM;1200-Ampofrasca
70000042;ENV.PET TRANSP COSMETIC 200 ML SENSITIVE;1200;3000;PZA;944,00;0,000;0,000;20.02.2026 - 22:03:43;ENVASES PT;Cosmetica Sensitive;AM-Cosmética;Inyecto Soplado;3000-ProdTerminado WM;1200-Ampofrasca
70000051;ENVASE GEL PACK TRANSP TAPA TRANSP;1200;3000;PZA;16980,00;0,000;0,000;20.02.2026 - 22:03:43;ENVASES PT;Ambar S/Impresión;AM-Env. Plásticos;Inyecto Soplado;3000-ProdTerminado WM;1200-Ampofrasca
70000054;ENVASE PET AMBAR FARMA  60 ML;1200;3000;PZA;104676,00;0,000;0,000;20.02.2026 - 22:03:43;ENVASES PT;Farma S/Impresión;AM-Farma;Inyecto Soplado;3000-ProdTerminado WM;1200-Ampofrasca
70000055;ENVASE PET AMBAR FARMA  90 ML;1200;3000;PZA;74900,00;0,000;0,000;20.02.2026 - 22:03:43;ENVASES PT;Farma S/Impresión;AM-Farma;Inyecto Soplado;3000-ProdTerminado WM;1200-Ampofrasca
70000058;ENVASE PET AMBAR FARMA 180 ML;1200;3000;PZA;5720,00;0,000;0,000;20.02.2026 - 22:03:43;ENVASES PT;Farma S/Impresión;AM-Farma;Inyecto Soplado;3000-ProdTerminado WM;1200-Ampofrasca
70000059;ENVASE PET AMBAR FARMA 240 ML;1200;3000;PZA;8176,00;0,000;0,000;20.02.2026 - 22:03:43;ENVASES PT;Farma S/Impresión;AM-Farma;Inyecto Soplado;3000-ProdTerminado WM;1200-Ampofrasca
70000077;ENVASE PET TRANSP COSMETIC OVAL 200 ML;1200;3000;PZA;13800,00;0,000;0,000;20.02.2026 - 22:03:43;ENVASES PT;Cosmetica Oval;AM-Cosmética;Inyecto Soplado;3000-ProdTerminado WM;1200-Ampofrasca
70000080;ENVASE PET TRANSP ESPECIAS 100 G;1200;3000;PZA;51800,00;0,000;0,000;20.02.2026 - 22:03:43;ENVASES PT;Especias;AM-Especias;Inyecto Soplado;3000-ProdTerminado WM;1200-Ampofrasca
70000082;ENVASE PET TRANSP ESPECIAS 200 G;1200;3000;PZA;73305,00;0,000;0,000;20.02.2026 - 22:03:43;ENVASES PT;Especias;AM-Especias;Inyecto Soplado;3000-ProdTerminado WM;1200-Ampofrasca
70000084;ENVASE PET TRANSP FARMA  60 ML;1200;3000;PZA;15444,00;0,000;0,000;20.02.2026 - 22:03:43;ENVASES PT;Farma S/Impresión;AM-Farma;Inyecto Soplado;3000-ProdTerminado WM;1200-Ampofrasca
70000087;ENVASE PET TRANSP FARMA 180 ML;1200;3000;PZA;34408,00;0,000;0,000;20.02.2026 - 22:03:43;ENVASES PT;Farma S/Impresión;AM-Farma;Inyecto Soplado;3000-ProdTerminado WM;1200-Ampofrasca
70000093;FRASCO IMPRESO INYECT TRANSP 22,5 X 42;1200;3000;PZA;5964,00;0,000;0,000;20.02.2026 - 22:03:43;FRASCOS;Ambar S/Impresión;AM-Ampollas;Viales;3000-ProdTerminado WM;1200-Ampofrasca
70000096;FRASCO IMPRESO INYECT TRANSP 24,5 X 55;1200;3000;PZA;9016,00;0,000;0,000;20.02.2026 - 22:03:43;FRASCOS;Transparente S/Impresión;AM-Viales Inyectable;Viales;3000-ProdTerminado WM;1200-Ampofrasca
70000102;FRASCO INYECTABLE TRANSPARENTE 22,5 X 42;1200;3000;PZA;27903,00;0,000;0,000;20.02.2026 - 22:03:43;FRASCOS;Transparente S/Impresión;AM-Viales Inyectable;Viales;3000-ProdTerminado WM;1200-Ampofrasca
70000107;FRASCO INYECTABLE TRANSPARENTE 24,5 X 55;1200;3000;PZA;27600,00;0,000;0,000;20.02.2026 - 22:03:43;FRASCOS;Ambar S/Impresión;AM-Ampollas;Viales;3000-ProdTerminado WM;1200-Ampofrasca
