Clase Orden;Texto ClOrden;Orden;Centro;Codigo_Mat;Denominacion Material;Cantidad Orden;Cantidad Recibida;UM Orden;Cantidad 2;Recibido 2;UM 2;Fecha Inicio Extrema;Fecha Fin Extrema;Fecha Inic Real;Fecha fin real;Fecha Liberacion;Reproceso;Estatus;Sector;Maquina;Fecha-Hora
ZPA0;Orden de Fabricación Renovación;000043000828;1200;70000585;ENV PET TRANSP COSMETIC OVAL 200 ML (PH);4680,000;4680,000;PZA;0,114;0,114;TO;13.02.2026;18.02.2026;13.02.2026;00.00.0000;12.02.2026;REPROCESO;Liberados;AOKI;AOKI-15 SBIII-250LL-50S;20.02.2026 - 22:02:00
ZPA6;Orden de Fabricación Envases plásticos;000039000357;1200;70000621;ENVASE LIMPIEZA 500ml (P) 27,90g;50688,000;35904,000;PZA;1,414;1,002;TO;10.02.2026;23.02.2026;13.02.2026;20.02.2026;10.02.2026;PLAN;Liberados;SOPLADO MANUAL;OGSIII 35 SOPLADO MANUAL;20.02.2026 - 22:02:00
ZPA3;Orden de Fabricación Envases Alimentos;000036000519;1200;70000666;ENVASE PET MAYONESA 200 ML;523776,000;422400,000;PZA;10,083;8,131;TO;03.02.2026;11.02.2026;03.02.2026;20.02.2026;03.02.2026;PLAN;Liberados;AOKI;AOKI-06 SBIII-250LL-50S;20.02.2026 - 22:02:00
ZPA3;Orden de Fabricación Envases Alimentos;000036000520;1200;70000666;ENVASE PET MAYONESA 200 ML;506880,000;287232,000;PZA;9,757;5,529;TO;03.02.2026;11.02.2026;03.02.2026;19.02.2026;03.02.2026;PLAN;Liberados;AOKI;AOKI-08 SBIII-250LL-50S;20.02.2026 - 22:02:00
ZPA3;Orden de Fabricación Envases Alimentos;000036000521;1200;70000666;ENVASE PET MAYONESA 200 ML;304128,000;0,000;PZA;5,854;0,000;TO;03.02.2026;09.02.2026;03.02.2026;00.00.0000;03.02.2026;PLAN;Liberados;AOKI;AOKI-09 SBIII-250LL-50S;20.02.2026 - 22:02:00
ZPA3;Orden de Fabricación Envases Alimentos;000036000522;1200;70000666;ENVASE PET MAYONESA 200 ML;439296,000;295680,000;PZA;8,456;5,692;TO;03.02.2026;10.02.2026;03.02.2026;20.02.2026;03.02.2026;PLAN;Liberados;AOKI;AOKI-10 SBIII-250LL-50S;20.02.2026 - 22:02:00
ZPA3;Orden de Fabricación Envases Alimentos;000036000523;1200;70000666;ENVASE PET MAYONESA 200 ML;447744,000;329472,000;PZA;8,619;6,342;TO;03.02.2026;10.02.2026;03.02.2026;20.02.2026;03.02.2026;PLAN;Liberados;AOKI;AOKI-13 SBIII-250LL-50S;20.02.2026 - 22:02:00
ZPA6;Orden de Fabricación Envases plásticos;000039000352;1200;70000808;ENVASE MULTIUSOS 828ml  (23g);1,000;0,000;PZA;0,000;0,000;TO;03.02.2026;16.07.2026;03.02.2026;00.00.0000;03.02.2026;PLAN;Cerrado técnicamente;SOPLADO MANUAL;OGSI 33 SOPLADO MANUAL;20.02.2026 - 22:02:00
ZPA6;Orden de Fabricación Envases plásticos;000039000356;1200;70000808;ENVASE MULTIUSOS 828ml  (23g);185850,000;52920,000;PZA;4,275;1,217;TO;04.02.2026;17.07.2026;04.02.2026;10.02.2026;04.02.2026;PLAN;Liberados;SOPLADO MANUAL;OGSI 33 SOPLADO MANUAL;20.02.2026 - 22:02:00
ZPA0;Orden de Fabricación Renovación;43883645;1200;70000505;CILINDRICO PCO 28mm 400ml (23,00Gr)Ecomm;1,000;0,000;PZA;0,00;0,00;TO;05.02.2026;06.02.2026;00.00.0000;00.00.0000;05.02.2026;REPROCESO;Cerrado técnicamente;ECOMMERCE;ECOMMERCE;20.02.2026 - 22:02:00
ZPA2;Orden de Fab. Envases Farmacéuticos;35268633;1200;70000351;ENVASE PET BLANCO COSMETIC OVAL 200 (PH);28800,000;0,000;PZA;0,83;0,00;TO;09.02.2026;10.02.2026;10.02.2026;00.00.0000;09.02.2026;PLAN;Liberados;AOKI;AOKI-15 SBIII-250LL-50S;20.02.2026 - 22:02:00
