Razón Social,Gpo de Cliente,ClaseDoc.,Num.Factura,Sector,Canal,Fecha.Doc,Zona.Vtas,Almacen,Denominacion Material,Cantidad UMV,UM.Vtas,Cantidad UMB,UM.Base,Prec.Unitario,Monto Neto,IVA,Importe Final,Doc.Comercial,Cond.Pago,Fec.Venc.,Moneda.Doc.,Status de Anulacion,Doc.Anulac,Grp.Vend,Vendedor,Referencia,Pedido.Vta,Jerarquía 1,Jerarquía 2,Jerarquía 3,UM.Peso,Peso.Fact,Peso.Total,Um.PesoGen,Ramo,Gr.Material,Gr.Articulo,Tipo.Cambio,Mes,Ejercicio,Prec.Unitario 2,Monto Neto 2,IVA 2,Importe Final 2,Conc.Busq,Codigo_Mat,Listas_precios,,Cod_cliente,,Ind_retcl,Ind_auto_retcl,fechahora,CodMot,Tx Motivo,CodVend
DROGUERIA COBECA ORIENTE C A,Distribuidores,Fact. Nac. Consig PH,6000123057,Cuidado Personal,Venta Directa,20250506,Zona Oriente,3000,CHICCO CHAMPU ORIGINAL 100ML,"0,571",CS,16,ST,"53,24","30,4","4,86","35,26",Factura,Crédito 30 Días,20250605,USD,NA,,GV Ger. Reg. CClave,SAMANTHA G. GARCIA,00-0605948,1351010659,Chicco,100,Original,KG,"1,632",,"1,632",Drogueria,PH-Champú,HIGIENE PERSONAL,0,5,2025,"53,24","30,4","4,86","35,26",COBECA,50001016,Cadenas,,10000146,10,1,X,02.07.2025 - 08:40:06,,,100017
DROGUERIA COBECA ORIENTE C A,Distribuidores,Fact. Nac. Consig PH,6000123057,Cuidado Personal,Venta Directa,20250506,Zona Oriente,3000,CHICCO CHAMPU MANZANILLA 100CC,"0,25",CS,6,ST,"45,6","11,4","1,82","13,22",Factura,Crédito 30 Días,20250605,USD,NA,,GV Ger. Reg. CClave,SAMANTHA G. GARCIA,00-0605948,1351010659,Chicco,100,Manzanilla,G,612,,"0,612",Drogueria,PH-Champú,HIGIENE PERSONAL,0,5,2025,"45,6","11,4","1,82","13,22",COBECA,50000067,Cadenas,,10000146,10,1,X,02.07.2025 - 08:40:06,,,100017
DROGUERIA COBECA ORIENTE C A,Distribuidores,Fact. Nac. Consig PH,6000123057,Cuidado Personal,Venta Directa,20250506,Zona Oriente,3000,CHICCO ACEITE CREMOSO 100CC,"0,083",CS,2,ST,"38,55","3,2","0,51","3,71",Factura,Crédito 30 Días,20250605,USD,NA,,GV Ger. Reg. CClave,SAMANTHA G. GARCIA,00-0605948,1351010659,Chicco,100,Original,G,191,,"0,191",Drogueria,PH-Aceite,HIGIENE PERSONAL,0,5,2025,"38,55","3,2","0,51","3,71",COBECA,50000063,Cadenas,,10000146,10,1,X,02.07.2025 - 08:40:06,,,100017
DROGUERIA COBECA ORIENTE C A,Distribuidores,Fact. Nac. Consig PH,6000123057,Cuidado Personal,Venta Directa,20250506,Zona Oriente,3000,CHICCO ACEITE CREMOSO 100ML,"0,214",CS,6,ST,"44,86","9,6","1,54","11,14",Factura,Crédito 30 Días,20250605,USD,NA,,GV Ger. Reg. CClave,SAMANTHA G. GARCIA,00-0605948,1351010659,Chicco,100,Original,G,591,,"0,591",Drogueria,PH-Aceite,HIGIENE PERSONAL,0,5,2025,"44,86","9,6","1,54","11,14",COBECA,50001046,Cadenas,,10000146,10,1,X,02.07.2025 - 08:40:06,,,100017
DROGUERIA COBECA ORIENTE C A,Distribuidores,Fact. Nac. Consig PH,6000123057,Cuidado Personal,Venta Directa,20250506,Zona Oriente,3000,CHICCO ACEITE 220 ML,"1,2",CS,12,ST,48,"57,6","9,22","66,82",Factura,Crédito 30 Días,20250605,USD,NA,,GV Ger. Reg. CClave,SAMANTHA G. GARCIA,00-0605948,1351010659,Chicco,220,Original,KG,"2,184",,"2,184",Drogueria,PH-Aceite,HIGIENE PERSONAL,0,5,2025,48,"57,6","9,22","66,82",COBECA,50000971,Cadenas,,10000146,10,1,X,02.07.2025 - 08:40:06,,,100017
DROGUERIA COBECA ORIENTE C A,Distribuidores,Fact. Nac. Consig PH,6000123057,Cuidado Personal,Venta Directa,20250506,Zona Oriente,3000,CHICCO ACEITE PARA NIÑOS 100ML,"0,214",CS,6,ST,"77,94","16,68","2,67","19,35",Factura,Crédito 30 Días,20250605,USD,NA,,GV Ger. Reg. CClave,SAMANTHA G. GARCIA,00-0605948,1351010659,Chicco,100,Original,KG,"0,594",,"0,594",Drogueria,PH-Aceite,HIGIENE PERSONAL,0,5,2025,"77,94","16,68","2,67","19,35",COBECA,50001012,Cadenas,,10000146,10,1,X,02.07.2025 - 08:40:06,,,100017
DROGUERIA COBECA ORIENTE C A,Distribuidores,Fact. Nac. Consig PH,6000123057,Cuidado Personal,Venta Directa,20250506,Zona Oriente,3000,CHICCO ACEITE CREMOSO 200 ML,"0,2",CS,2,ST,"30,2","6,04","0,97","7,01",Factura,Crédito 30 Días,20250605,USD,NA,,GV Ger. Reg. CClave,SAMANTHA G. GARCIA,00-0605948,1351010659,Chicco,200,Original,G,"0,392",,0,Drogueria,PH-Aceite,HIGIENE PERSONAL,0,5,2025,"30,2","6,04","0,97","7,01",COBECA,50001006,Cadenas,,10000146,10,1,X,02.07.2025 - 08:40:06,,,100017
DROGUERIA COBECA ORIENTE C A,Distribuidores,Fact. Nac. Consig PH,6000123058,Cuidado Personal,Venta Directa,20250506,Zona Oriente,3000,AMY COLONIA 220CC OVAL,"0,4",CS,4,ST,"32,1","12,84","2,05","14,89",Factura,Crédito 30 Días,20250605,USD,NA,,GV Ger. Reg. CClave,SAMANTHA G. GARCIA,00-0605949,1351010659,Amy,220,Original,KG,"0,8",,"0,8",Drogueria,PH-Colonia,HIGIENE PERSONAL,0,5,2025,"32,1","12,84","2,05","14,89",COBECA,50000902,Cadenas,,10000146,10,1,X,02.07.2025 - 08:40:06,,,100017
DROGUERIA COBECA ORIENTE C A,Distribuidores,Fact. Nac. Consig PH,6000123058,Cuidado Personal,Venta Directa,20250506,Zona Oriente,3000,CHICCO COLONIA 100ML,"0,25",CS,7,ST,"62,44","15,61","2,5","18,11",Factura,Crédito 30 Días,20250605,USD,NA,,GV Ger. Reg. CClave,SAMANTHA G. GARCIA,00-0605949,1351010659,Chicco,100,Original,G,616,,"0,616",Drogueria,PH-Colonia,HIGIENE PERSONAL,0,5,2025,"62,44","15,61","2,5","18,11",COBECA,50001011,Cadenas,,10000146,10,1,X,02.07.2025 - 08:40:06,,,100017
DROGUERIA COBECA ORIENTE C A,Distribuidores,Fact. Nac. Consig PH,6000123058,Cuidado Personal,Venta Directa,20250506,Zona Oriente,3000,CHICCO PROMO COTONCITO 300P PAGA 200P,"0,75",CS,9,PAQ,"28,68","21,51","3,44","24,95",Factura,Crédito 30 Días,20250605,USD,NA,,GV Ger. Reg. CClave,SAMANTHA G. GARCIA,00-0605949,1351010659,Chicco,300,Original,KG,"0,693",,"0,693",Drogueria,PH-Hisopos,ALGODONES PT,0,5,2025,"28,68","21,51","3,44","24,95",COBECA,50001051,Cadenas,,10000146,10,1,X,02.07.2025 - 08:40:06,,,100017
DROGUERIA COBECA ORIENTE C A,Distribuidores,Fact. Nac. Consig PH,6000123058,Cuidado Personal,Venta Directa,20250506,Zona Oriente,3000,CHICCO GEL ANTIBACTERIAL 100CC,"0,5",CS,12,ST,"40,56","20,28","3,24","23,52",Factura,Crédito 30 Días,20250605,USD,NA,,GV Ger. Reg. CClave,SAMANTHA G. GARCIA,00-0605949,1351010659,Chicco,100,Gel,KG,"1,08",,"1,08",Drogueria,PH-Gel Antibacterial,HIGIENE PERSONAL,0,5,2025,"40,56","20,28","3,24","23,52",COBECA,50000252,Cadenas,,10000146,10,1,X,02.07.2025 - 08:40:06,,,100017
DROGUERIA COBECA ORIENTE C A,Distribuidores,Fact. Nac. Consig PH,6000123058,Cuidado Personal,Venta Directa,20250506,Zona Oriente,3000,AMY HISOPOS 60 P,"1,771",CS,85,PAQ,"43,2","76,5","12,26","88,76",Factura,Crédito 30 Días,20250605,USD,NA,,GV Ger. Reg. CClave,SAMANTHA G. GARCIA,00-0605949,1351010659,Amy,60,Original,G,"1147,5",,"1,148",Drogueria,PH-Hisopos,ALGODONES PT,0,5,2025,"43,2","76,5","12,26","88,76",COBECA,50000443,Cadenas,,10000146,10,1,X,02.07.2025 - 08:40:06,,,100017
DROGUERIA COBECA ORIENTE C A,Distribuidores,Fact. Nac. Consig PH,6000123058,Cuidado Personal,Venta Directa,20250506,Zona Oriente,3000,AMY MOTAS DE ALGODON 50P,"0,333",CS,4,PAQ,"21,86","7,28","1,16","8,44",Factura,Crédito 30 Días,20250605,USD,NA,,GV Ger. Reg. CClave,SAMANTHA G. GARCIA,00-0605949,1351010659,Amy,50,Original,KG,"0,16",,"0,16",Drogueria,PH-Motas De Algodón,ALGODONES PT,0,5,2025,"21,86","7,28","1,16","8,44",COBECA,50000517,Cadenas,,10000146,10,1,X,02.07.2025 - 08:40:06,,,100017
DROGUERIA COBECA ORIENTE C A,Distribuidores,Fact. Nac. Consig PH,6000123058,Cuidado Personal,Venta Directa,20250506,Zona Oriente,3000,CHICCO COTONCITO 60 PZA,"1,292",CS,62,PAQ,"47,51","61,38","9,82","71,2",Factura,Crédito 30 Días,20250605,USD,NA,,GV Ger. Reg. CClave,SAMANTHA G. GARCIA,00-0605949,1351010659,Chicco,60,Original,KG,"0,806",,"0,806",Drogueria,PH-Hisopos,ALGODONES PT,0,5,2025,"47,51","61,38","9,82","71,2",COBECA,50001024,Cadenas,,10000146,10,1,X,02.07.2025 - 08:40:06,,,100017
DROGUERIA COBECA ORIENTE C A,Distribuidores,Fact. Nac. Consig PH,6000123058,Cuidado Personal,Venta Directa,20250506,Zona Oriente,3000,CHICCO COTONCITO 100 PZA,"0,75",CS,24,PAQ,"35,84","26,88","4,3","31,18",Factura,Crédito 30 Días,20250605,USD,NA,,GV Ger. Reg. CClave,SAMANTHA G. GARCIA,00-0605949,1351010659,Chicco,100,Original,KG,"0,624",,"0,624",Drogueria,PH-Hisopos,ALGODONES PT,0,5,2025,"35,84","26,88","4,3","31,18",COBECA,50001023,Cadenas,,10000146,10,1,X,02.07.2025 - 08:40:06,,,100017
DROGUERIA COBECA ORIENTE C A,Distribuidores,Fact. Nac. Consig PH,6000123058,Cuidado Personal,Venta Directa,20250506,Zona Oriente,3000,CHICCO PROMO COTONCITO 180P PAGA 120P,"0,188",CS,3,PAQ,"33,67","6,33","1,01","7,34",Factura,Crédito 30 Días,20250605,USD,NA,,GV Ger. Reg. CClave,SAMANTHA G. GARCIA,00-0605949,1351010659,Chicco,,Original,KG,"0,132",,"0,132",Drogueria,PH-Hisopos,ALGODONES PT,0,5,2025,"33,67","6,33","1,01","7,34",COBECA,50001052,Cadenas,,10000146,10,1,X,02.07.2025 - 08:40:06,,,100017
DROGUERIA COBECA ORIENTE C A,Distribuidores,Fact. Nac. Consig PH,6000123059,Absorbentes,Venta Directa,20250506,Zona Oriente,3000,SIEMPRE SECO BASICO G (6X6),"19,667",PAK,118,PAQ,"27,96","549,88","87,99","637,87",Factura,Crédito 30 Días,20250605,USD,NA,,GV Ger. Reg. CClave,SAMANTHA G. GARCIA,00-0605950,1351010659,Siempre Seco,6,Basico,KG,73632,,73632,Drogueria,PH-Protector Incont.,INCONTINENCIA,0,5,2025,"27,96","549,88","87,99","637,87",COBECA,50000640,Cadenas,,10000146,10,1,X,02.07.2025 - 08:40:06,,,100017
DROGUERIA COBECA ORIENTE C A,Distribuidores,Fact. Nac. Consig PH,6000123059,Absorbentes,Venta Directa,20250506,Zona Oriente,3000,SECUREZZA CLASSIC L REG (6x6),"0,167",PAK,1,PAQ,"37,6","6,28",1,"7,28",Factura,Crédito 30 Días,20250605,USD,NA,,GV Ger. Reg. CClave,SAMANTHA G. GARCIA,00-0605950,1351010659,Securezza,6,Classic,KG,624,,624,Drogueria,PH-Protector Incont.,INCONTINENCIA,0,5,2025,"37,6","6,28",1,"7,28",COBECA,50000627,Cadenas,,10000146,10,1,X,02.07.2025 - 08:40:06,,,100017
DROGUERIA COBECA ORIENTE C A,Distribuidores,Fact. Nac. Consig PH,6000123059,Absorbentes,Venta Directa,20250506,Zona Oriente,3000,SECUREZZA COMFORT M REG (6x6),"6,833",PAK,41,PAQ,"34,44","235,34","37,65","272,99",Factura,Crédito 30 Días,20250605,USD,NA,,GV Ger. Reg. CClave,SAMANTHA G. GARCIA,00-0605950,1351010659,Securezza,6,Classic,KG,20664,,20664,Drogueria,PH-Protector Incont.,INCONTINENCIA,0,5,2025,"34,44","235,34","37,65","272,99",COBECA,50000921,Cadenas,,10000146,10,1,X,02.07.2025 - 08:40:06,,,100017
DROGUERIA COBECA ORIENTE C A,Distribuidores,Fact. Nac. Consig PH,6000123059,Absorbentes,Venta Directa,20250506,Zona Oriente,3000,SECUREZZA COMFORT M LLEVA 20/16 (4x20),"1,5",PAK,6,PAQ,"61,28","91,92","14,71","106,63",Factura,Crédito 30 Días,20250605,USD,NA,,GV Ger. Reg. CClave,SAMANTHA G. GARCIA,00-0605950,1351010659,Securezza,20,Classic,KG,3024,,3024,Drogueria,PH-Protector Incont.,INCONTINENCIA,0,5,2025,"61,28","91,92","14,71","106,63",COBECA,50001049,Cadenas,,10000146,10,1,X,02.07.2025 - 08:40:06,,,100017
DROGUERIA COBECA ORIENTE C A,Distribuidores,Fact. Nac. Consig PH,6000123059,Absorbentes,Venta Directa,20250506,Zona Oriente,3000,SECUREZZA CLASSIC M LLEVA 20/16 (4x20),"0,25",PAK,1,PAQ,"56,76","14,19","2,27","16,46",Factura,Crédito 30 Días,20250605,USD,NA,,GV Ger. Reg. CClave,SAMANTHA G. GARCIA,00-0605950,1351010659,Securezza,20,Classic,KG,504,,504,Drogueria,PH-Protector Incont.,INCONTINENCIA,0,5,2025,"56,76","14,19","2,27","16,46",COBECA,50001047,Cadenas,,10000146,10,1,X,02.07.2025 - 08:40:06,,,100017
DROGUERIA COBECA ORIENTE C A,Distribuidores,Fact. Nac. Consig PH,6000123059,Absorbentes,Venta Directa,20250506,Zona Oriente,3000,CHICCO PAÑAL DE NIÑO M REG (8X20),"2,875",PAK,23,PAQ,"36,32","104,42","16,71","121,13",Factura,Crédito 30 Días,20250605,USD,NA,,GV Ger. Reg. CClave,SAMANTHA G. GARCIA,00-0605950,1351010659,Chicco,20,Pañal Desechable,KG,7107,,7107,Drogueria,PH-Pañal Anatóm. T3,ABSORBENTES NIÑOS,0,5,2025,"36,32","104,42","16,71","121,13",COBECA,50000990,Cadenas,,10000146,10,1,X,02.07.2025 - 08:40:06,,,100017
DROGUERIA COBECA ORIENTE C A,Distribuidores,Fact. Nac. Consig PH,6000123059,Absorbentes,Venta Directa,20250506,Zona Oriente,3000,SECUREZZA COMFORT L LLEVA 20/16 (4x20),"0,75",PAK,3,PAQ,"72,24","54,18","8,67","62,85",Factura,Crédito 30 Días,20250605,USD,NA,,GV Ger. Reg. CClave,SAMANTHA G. GARCIA,00-0605950,1351010659,Securezza,20,Classic,KG,1872,,1872,Drogueria,PH-Protector Incont.,INCONTINENCIA,0,5,2025,"72,24","54,18","8,67","62,85",COBECA,50001050,Cadenas,,10000146,10,1,X,02.07.2025 - 08:40:06,,,100017
DROGUERIA COBECA ORIENTE C A,Distribuidores,Fact. Nac. Consig PH,6000123059,Absorbentes,Venta Directa,20250506,Zona Oriente,3000,SECUREZZA CLASSIC L LLEVA 20/16 (4x20),"0,25",PAK,1,PAQ,67,"16,75","2,68","19,43",Factura,Crédito 30 Días,20250605,USD,NA,,GV Ger. Reg. CClave,SAMANTHA G. GARCIA,00-0605950,1351010659,Securezza,20,Classic,KG,624,,624,Drogueria,PH-Protector Incont.,INCONTINENCIA,0,5,2025,67,"16,75","2,68","19,43",COBECA,50001048,Cadenas,,10000146,10,1,X,02.07.2025 - 08:40:06,,,100017
DROGUERIA COBECA ORIENTE C A,Distribuidores,Fact. Nac. Consig PH,6000123059,Cuidado Personal,Venta Directa,20250506,Zona Oriente,3000,CHICCO PROMO MOTAS ALGODON 100P PAGA 80P,"2,917",CS,35,PAQ,"32,88","95,9","15,34","111,24",Factura,Crédito 30 Días,20250605,USD,NA,,GV Ger. Reg. CClave,SAMANTHA G. GARCIA,00-0605950,1351010659,Chicco,100,Original,G,3066,,"3,066",Drogueria,PH-Motas De Algodón,ALGODONES PT,0,5,2025,"32,88","95,9","15,34","111,24",COBECA,50001054,Cadenas,,10000146,10,1,X,02.07.2025 - 08:40:06,,,100017
DROGUERIA COBECA ORIENTE C A,Distribuidores,Fact. Nac. Consig PH,6000123060,Absorbentes,Venta Directa,20250506,Zona Oriente,3000,SECUREZZA POST PARTO  (12X15),"1,75",PAK,21,PAQ,"27,24","47,67","7,63","55,3",Factura,Crédito 30 Días,20250605,USD,NA,,GV Ger. Reg. CClave,SAMANTHA G. GARCIA,00-0605951,1351010659,Securezza,15,Anatómica,KG,3675,,3675,Drogueria,PH-Toalla Post-Parto,INCONTINENCIA,0,5,2025,"27,24","47,67","7,63","55,3",COBECA,50001021,Cadenas,,10000146,10,1,X,02.07.2025 - 08:40:06,,,100017
DROGUERIA COBECA ORIENTE C A,Distribuidores,Fact. Nac. Consig PH,6000123060,Absorbentes,Venta Directa,20250506,Zona Oriente,3000,SECUREZZA POST PARTO PREMIUM (12X10),"4,25",PAK,51,PAQ,"22,56","95,88","15,34","111,22",Factura,Crédito 30 Días,20250605,USD,NA,,GV Ger. Reg. CClave,SAMANTHA G. GARCIA,00-0605951,1351010659,Securezza,10,Anatómica,KG,8925,,8925,Drogueria,PH-Toalla Post-Parto,INCONTINENCIA,0,5,2025,"22,56","95,88","15,34","111,22",COBECA,50000632,Cadenas,,10000146,10,1,X,02.07.2025 - 08:40:06,,,100017
DROGUERIA COBECA ORIENTE C A,Distribuidores,Fact. Nac. Consig PH,6000123060,Absorbentes,Venta Directa,20250506,Zona Oriente,3000,ACTIVA SEC PERDIDAS ABUNDANTES (12X10),"1,75",PAK,21,PAQ,"13,92","24,36","3,9","28,26",Factura,Crédito 30 Días,20250605,USD,NA,,GV Ger. Reg. CClave,SAMANTHA G. GARCIA,00-0605951,1351010659,Activa,10,Pérdida Abundante,KG,3360,,3360,Drogueria,PH-Toalla Incontinen,INCONTINENCIA,0,5,2025,"13,92","24,36","3,9","28,26",COBECA,50000569,Cadenas,,10000146,10,1,X,02.07.2025 - 08:40:06,,,100017
DROGUERIA COBECA ORIENTE C A,Distribuidores,Fact. Nac. Consig PH,6000123060,Absorbentes,Venta Directa,20250506,Zona Oriente,3000,ACTIVA SEC PERD ABUND PROMOCION (6X20),1,PAK,6,PAQ,"18,36","18,36","2,94","21,3",Factura,Crédito 30 Días,20250605,USD,NA,,GV Ger. Reg. CClave,SAMANTHA G. GARCIA,00-0605951,1351010659,Activa,20,Pérdida Abundante,KG,960,,960,Drogueria,PH-Toalla Incontinen,INCONTINENCIA,0,5,2025,"18,36","18,36","2,94","21,3",COBECA,50001113,Cadenas,,10000146,10,1,X,02.07.2025 - 08:40:06,,,100017
DROGUERIA COBECA ORIENTE C A,Distribuidores,Fact. Nac. Consig PH,6000123060,Cuidado Personal,Venta Directa,20250506,Zona Oriente,3000,CHICCO TALCO 100G,"1,208",CS,29,ST,"60,26","72,79","11,65","84,44",Factura,Crédito 30 Días,20250605,USD,NA,,GV Ger. Reg. CClave,SAMANTHA G. GARCIA,00-0605951,1351010659,Chicco,100,Original,G,"2940,6",,"2,941",Drogueria,PH-Talco,HIGIENE PERSONAL,0,5,2025,"60,26","72,79","11,65","84,44",COBECA,50001045,Cadenas,,10000146,10,1,X,02.07.2025 - 08:40:06,,,100017
DROGUERIA COBECA ORIENTE C A,Distribuidores,Fact. Nac. Consig PH,6000123060,Cuidado Personal,Venta Directa,20250506,Zona Oriente,3000,CHICCO TALCO 200 G,"0,208",CS,5,ST,"106,73","22,2","3,55","25,75",Factura,Crédito 30 Días,20250605,USD,NA,,GV Ger. Reg. CClave,SAMANTHA G. GARCIA,00-0605951,1351010659,Chicco,200,Original,G,1000,,1,Drogueria,PH-Talco,HIGIENE PERSONAL,0,5,2025,"106,73","22,2","3,55","25,75",COBECA,50000969,Cadenas,,10000146,10,1,X,02.07.2025 - 08:40:06,,,100017
DROGUERIA COBECA ORIENTE C A,Distribuidores,Fact. Nac. Consig PH,6000123060,Absorbentes,Venta Directa,20250506,Zona Oriente,3000,FRIENDS PD MANZANILLA (12X40),1,CS,12,PAQ,"26,88","26,88","4,3","31,18",Factura,Crédito 30 Días,20250605,USD,NA,,GV Ger. Reg. CClave,SAMANTHA G. GARCIA,00-0605951,1351010659,Friends,40,Perfumado,KG,1200,,1200,Drogueria,PH-Protector Diario,ABSORBENTES FEMENINA,0,5,2025,"26,88","26,88","4,3","31,18",COBECA,50000554,Cadenas,,10000146,10,1,X,02.07.2025 - 08:40:06,,,100017
DROGUERIA COBECA ORIENTE C A,Distribuidores,Fact. Nac. Consig PH,6000123060,Absorbentes,Venta Directa,20250506,Zona Oriente,3000,SECUREZZA PROTECTOR DE CAMA (6X10),1,PAK,6,PAQ,"37,26","37,26","5,96","43,22",Factura,Crédito 30 Días,20250605,USD,NA,,GV Ger. Reg. CClave,SAMANTHA G. GARCIA,00-0605951,1351010659,Securezza,10,Protector de Cama,KG,4080,,4080,Drogueria,PH-Protector de Cama,INCONTINENCIA,0,5,2025,"37,26","37,26","5,96","43,22",COBECA,50000957,Cadenas,,10000146,10,1,X,02.07.2025 - 08:40:06,,,100017
DROGUERIA COBECA ORIENTE C A,Distribuidores,Fact. Nac. Consig PH,6000123060,Absorbentes,Venta Directa,20250506,Zona Oriente,3000,SIEMPRE SECO PROTECTOR DE CAMA HB (4X20),8,PAK,32,PAQ,"35,16","281,28",45,"326,28",Factura,Crédito 30 Días,20250605,USD,NA,,GV Ger. Reg. CClave,SAMANTHA G. GARCIA,00-0605951,1351010659,Siempre Seco,20,Protector de Cama,KG,21760,,21760,Drogueria,PH-Protector de Cama,INCONTINENCIA,0,5,2025,"35,16","281,28",45,"326,28",COBECA,50000981,Cadenas,,10000146,10,1,X,02.07.2025 - 08:40:06,,,100017
DROGUERIA COBECA ORIENTE C A,Distribuidores,Fact. Nac. Consig PH,6000123061,Cuidado Personal,Venta Directa,20250506,Zona Oriente,3000,FRIENDS TH INTIMA 24P,"0,25",CS,6,PAQ,"23,28","5,82","0,93","6,75",Factura,Crédito 30 Días,20250605,USD,NA,,GV Ger. Reg. CClave,SAMANTHA G. GARCIA,00-0605952,1351010659,Friends,,Original,G,"0,858",,"0,001",Drogueria,PH-TH Travel Pack,TOALLAS HUMEDAS,0,5,2025,"23,28","5,82","0,93","6,75",COBECA,50001057,Cadenas,,10000146,10,1,X,02.07.2025 - 08:40:06,,,100017
DROGUERIA COBECA ORIENTE C A,Distribuidores,Fact. Nac. Consig PH,6000123566,Absorbentes,Venta Directa,20250514,Zona Oriente,3000,SECUREZZA CLASSIC L REG (6x6),"1,667",PAK,10,PAQ,"37,67","62,8","10,06","72,86",Factura,Crédito 30 Días,20250613,USD,NA,,GV Ger. Reg. CClave,SAMANTHA G. GARCIA,00-0606637,1351010669,Securezza,6,Classic,KG,6240,,6240,Drogueria,PH-Protector Incont.,INCONTINENCIA,0,5,2025,"37,67","62,8","10,06","72,86",COBECA,50000627,Cadenas,,10000146,10,1,X,02.07.2025 - 08:40:06,,,100017
DROGUERIA COBECA ORIENTE C A,Distribuidores,Fact. Nac. Consig PH,6000123566,Absorbentes,Venta Directa,20250514,Zona Oriente,3000,ACTIVA SEC PERDIDAS ABUNDANTES (12X10),"1,167",PAK,14,PAQ,"13,92","16,24","2,6","18,84",Factura,Crédito 30 Días,20250613,USD,NA,,GV Ger. Reg. CClave,SAMANTHA G. GARCIA,00-0606637,1351010669,Activa,10,Pérdida Abundante,KG,2240,,2240,Drogueria,PH-Toalla Incontinen,INCONTINENCIA,0,5,2025,"13,92","16,24","2,6","18,84",COBECA,50000569,Cadenas,,10000146,10,1,X,02.07.2025 - 08:40:06,,,100017
DROGUERIA COBECA ORIENTE C A,Distribuidores,Fact. Nac. Consig PH,6000123566,Absorbentes,Venta Directa,20250514,Zona Oriente,3000,FRIENDS PD MANZANILLA (12X40),"0,083",CS,1,PAQ,"25,78","2,14","0,34","2,48",Factura,Crédito 30 Días,20250613,USD,NA,,GV Ger. Reg. CClave,SAMANTHA G. GARCIA,00-0606637,1351010669,Friends,40,Perfumado,KG,100,,100,Drogueria,PH-Protector Diario,ABSORBENTES FEMENINA,0,5,2025,"25,78","2,14","0,34","2,48",COBECA,50000554,Cadenas,,10000146,10,1,X,02.07.2025 - 08:40:06,,,100017
DROGUERIA COBECA ORIENTE C A,Distribuidores,Fact. Nac. Consig PH,6000123566,Cuidado Personal,Venta Directa,20250514,Zona Oriente,3000,AMY CHAMPU 200CC OVAL,"0,4",CS,4,ST,"23,6","9,44","1,51","10,95",Factura,Crédito 30 Días,20250613,USD,NA,,GV Ger. Reg. CClave,SAMANTHA G. GARCIA,00-0606637,1351010669,Amy,200,Original,KG,"0,676",,"0,676",Drogueria,PH-Champú,HIGIENE PERSONAL,0,5,2025,"23,6","9,44","1,51","10,95",COBECA,50000532,Cadenas,,10000146,10,1,X,02.07.2025 - 08:40:06,,,100017
DROGUERIA COBECA ORIENTE C A,Distribuidores,Fact. Nac. Consig PH,6000123566,Cuidado Personal,Venta Directa,20250514,Zona Oriente,3000,AMY MOTAS DE ALGODON 50P,"0,917",CS,11,PAQ,"21,83","20,02","3,2","23,22",Factura,Crédito 30 Días,20250613,USD,NA,,GV Ger. Reg. CClave,SAMANTHA G. GARCIA,00-0606637,1351010669,Amy,50,Original,KG,"0,44",,"0,44",Drogueria,PH-Motas De Algodón,ALGODONES PT,0,5,2025,"21,83","20,02","3,2","23,22",COBECA,50000517,Cadenas,,10000146,10,1,X,02.07.2025 - 08:40:06,,,100017
DROGUERIA COBECA ORIENTE C A,Distribuidores,Fact. Nac. Consig PH,6000123566,Cuidado Personal,Venta Directa,20250514,Zona Oriente,3000,AMY HISOPOS 60 P,"0,896",CS,43,PAQ,"43,19","38,7","6,19","44,89",Factura,Crédito 30 Días,20250613,USD,NA,,GV Ger. Reg. CClave,SAMANTHA G. GARCIA,00-0606637,1351010669,Amy,60,Original,G,"580,5",,"0,581",Drogueria,PH-Hisopos,ALGODONES PT,0,5,2025,"43,19","38,7","6,19","44,89",COBECA,50000443,Cadenas,,10000146,10,1,X,02.07.2025 - 08:40:06,,,100017
DROGUERIA COBECA ORIENTE C A,Distribuidores,Fact. Nac. Consig PH,6000123566,Cuidado Personal,Venta Directa,20250514,Zona Oriente,3000,CHICCO GEL ANTIBACTERIAL 100CC,"0,375",CS,9,ST,"40,56","15,21","2,43","17,64",Factura,Crédito 30 Días,20250613,USD,NA,,GV Ger. Reg. CClave,SAMANTHA G. GARCIA,00-0606637,1351010669,Chicco,100,Gel,KG,"0,81",,"0,81",Drogueria,PH-Gel Antibacterial,HIGIENE PERSONAL,0,5,2025,"40,56","15,21","2,43","17,64",COBECA,50000252,Cadenas,,10000146,10,1,X,02.07.2025 - 08:40:06,,,100017
DROGUERIA COBECA ORIENTE C A,Distribuidores,Fact. Nac. Consig PH,6000123566,Cuidado Personal,Venta Directa,20250514,Zona Oriente,3000,CHICCO CHAMPU MANZANILLA 100CC,"0,25",CS,6,ST,"45,6","11,4","1,82","13,22",Factura,Crédito 30 Días,20250613,USD,NA,,GV Ger. Reg. CClave,SAMANTHA G. GARCIA,00-0606637,1351010669,Chicco,100,Manzanilla,G,612,,"0,612",Drogueria,PH-Champú,HIGIENE PERSONAL,0,5,2025,"45,6","11,4","1,82","13,22",COBECA,50000067,Cadenas,,10000146,10,1,X,02.07.2025 - 08:40:06,,,100017
