Razón Social,Gpo de Cliente,ClaseDoc.,Num.Factura,Sector,Canal,Fecha.Doc,Zona.Vtas,Almacen,Denominacion Material,Cantidad UMV,UM.Vtas,Cantidad UMB,UM.Base,Prec.Unitario,Monto Neto,IVA,Importe Final,Doc.Comercial,Cond.Pago,Fec.Venc.,Moneda.Doc.,Status de Anulacion,Doc.Anulac,Grp.Vend,Vendedor,Referencia,Pedido.Vta,Jerarquía 1,Jerarquía 2,Jerarquía 3,UM.Peso,Peso.Fact,Peso.Total,Um.PesoGen,Ramo,Gr.Material,Gr.Articulo,Tipo.Cambio,Mes,Ejercicio,Prec.Unitario 2,Monto Neto 2,IVA 2,Importe Final 2,Conc.Busq,Codigo_Mat,Listas_precios,,Cod_cliente,,Ind_retcl,Ind_auto_retcl,fechahora,CodMot,Tx Motivo,CodVend
"CENTRAL MADEIRENSE, C.A",Cadenas,Fact. Nac. Pharsana,6000123406,Cuidado Personal,Venta Directa,20250513,Zona Metropolitana,3000,CHICCO MOTAS DE ALGODON 100P,10,CS,120,PAQ,"4310,64","43106,4","6897,02","50003,42",Factura,Crédito 30 Días,20250612,VED,NA,,GV Ger. Reg. CClave,BETTINA Y. CALDERON,00-0606450,1002056423,Chicco,100,Original,KG,"10,512",,"10,512",Cadena Nacional,PH-Motas De Algodón,ALGODONES PT,"93,0623",5,2025,"46,32","463,2","74,11","537,31",CMADEIRENS,50000010,Detal,,10000016,30,1,X,02.07.2025 - 08:40:06,,,100140
"CENTRAL MADEIRENSE, C.A",Cadenas,Fact. Nac. Pharsana,6000123406,Absorbentes,Venta Directa,20250513,Zona Metropolitana,3000,FRIENDS PD REGULAR S/P (12X60),9,PAK,108,PAQ,"3216,24","28946,16","4631,39","33577,55",Factura,Crédito 30 Días,20250612,VED,NA,,GV Ger. Reg. CClave,BETTINA Y. CALDERON,00-0606450,1002056423,Friends,60,Regular,KG,16200,,16200,Cadena Nacional,PH-Protector Diario,ABSORBENTES FEMENINA,"93,0623",5,2025,"34,56","311,04","49,77","360,81",CMADEIRENS,50001107,Detal,,10000016,30,1,X,02.07.2025 - 08:40:06,,,100140
"CENTRAL MADEIRENSE, C.A",Cadenas,Fact. Nac. Pharsana,6000123406,Cuidado Personal,Venta Directa,20250513,Zona Metropolitana,3000,CHICCO COTONCITO 60 PZA,16,CS,768,PAQ,"4958,4","79334,4","12693,5","92027,9",Factura,Crédito 30 Días,20250612,VED,NA,,GV Ger. Reg. CClave,BETTINA Y. CALDERON,00-0606450,1002056423,Chicco,60,Original,KG,"9,984",,"9,984",Cadena Nacional,PH-Hisopos,ALGODONES PT,"93,0623",5,2025,"53,28","852,49","136,4","988,88",CMADEIRENS,50001024,Detal,,10000016,30,1,X,02.07.2025 - 08:40:06,,,100140
"CENTRAL MADEIRENSE, C.A",Cadenas,N/C FI Pharsana,6200039354,Común,Venta Directa,20250530,Zona Metropolitana,,NC DSCTO 3% CENTRALIZACION,0,,0,,0,"-1465,71","-234,51","-1700,22",Abono,Crédito 30 Días,20250629,VED,NA,,GV Ger. Reg. CClave,BETTINA Y. CALDERON,00-0608073,1013031668,Descuentos,,,KG,0,,0,Cadena Nacional,Descuentos,,"96,8577",5,2025,0,"-15,13","-2,42","-17,55",CMADEIRENS,91000049,Detal,,10000016,30,1,X,02.07.2025 - 08:40:06,Z52,Dcto Promocional No Reflejado En Factura,100140
"CENTRAL MADEIRENSE, C.A",Cadenas,N/C FI Pharsana,6200039355,Común,Venta Directa,20250530,Zona Metropolitana,,NC DSCTO 3% CENTRALIZACION,0,,0,,0,"-544,46","-87,11","-631,57",Abono,Crédito 30 Días,20250629,VED,NA,,GV Ger. Reg. CClave,BETTINA Y. CALDERON,00-0608074,1013031669,Descuentos,,,KG,0,,0,Cadena Nacional,Descuentos,,"96,8577",5,2025,0,"-5,62","-0,9","-6,52",CMADEIRENS,91000049,Detal,,10000016,30,1,X,02.07.2025 - 08:40:06,Z52,Dcto Promocional No Reflejado En Factura,100140
"CENTRAL MADEIRENSE, C.A",Cadenas,N/C FI Pharsana,6200039356,Común,Venta Directa,20250530,Zona Metropolitana,,NC DSCTO 3% CENTRALIZACION,0,,0,,0,"-7232,69","-1157,23","-8389,92",Abono,Crédito 30 Días,20250629,VED,NA,,GV Ger. Reg. CClave,BETTINA Y. CALDERON,00-0608075,1013031670,Descuentos,,,KG,0,,0,Cadena Nacional,Descuentos,,"96,8577",5,2025,0,"-74,67","-11,95","-86,62",CMADEIRENS,91000049,Detal,,10000016,30,1,X,02.07.2025 - 08:40:06,Z52,Dcto Promocional No Reflejado En Factura,100140
"CENTRAL MADEIRENSE, C.A",Cadenas,N/C FI Pharsana,6200039357,Común,Venta Directa,20250530,Zona Metropolitana,,NC DIFERENCIA EN PRECIO F 6000121806,0,,0,,0,"-11174,05","-1787,85","-12961,9",Abono,Crédito 30 Días,20250629,VED,NA,,GV Ger. Reg. CClave,BETTINA Y. CALDERON,00-0608076,1013031690,Descuentos,,,KG,0,,0,Cadena Nacional,Descuentos,,"96,8577",5,2025,0,"-115,37","-18,46","-133,82",CMADEIRENS,91000049,Detal,,10000016,30,1,X,02.07.2025 - 08:40:06,Z52,Dcto Promocional No Reflejado En Factura,100140
COMERCIAL CONTINENTAL C A,Detal,Fact. Nac. Pharsana,6000124730,Absorbentes,Venta Directa,20250530,Zona Centro,3000,SIEMPRE SECO BASICO M (6X6),1,PAK,6,PAQ,"34,08","34,08","5,45","39,53",Factura,Crédito 15 Días,20250614,USD,NA,,GV Ger. Reg. Ce.LLan,MERY S. MOSES,00-0608220,1002057260,Siempre Seco,6,Basico,KG,3024,,3024,Perfumeria,PH-Protector Incont.,INCONTINENCIA,0,5,2025,"34,08","34,08","5,45","39,53",,50000639,Detal,,10000022,30,1,X,02.07.2025 - 08:40:06,,,100082
COMERCIAL CONTINENTAL C A,Detal,Fact. Nac. Pharsana,6000124730,Absorbentes,Venta Directa,20250530,Zona Centro,3000,SECUREZZA PANTS L (8X10),1,PAK,8,PAQ,"87,68","87,68","14,02","101,7",Factura,Crédito 15 Días,20250614,USD,NA,,GV Ger. Reg. Ce.LLan,MERY S. MOSES,00-0608220,1002057260,Securezza,10,Pants,KG,4032,,4032,Perfumeria,PH-Pañal Pull Up,INCONTINENCIA,0,5,2025,"87,68","87,68","14,02","101,7",,50001097,Detal,,10000022,30,1,X,02.07.2025 - 08:40:06,,,100082
COMERCIAL CONTINENTAL C A,Detal,Fact. Nac. Pharsana,6000124730,Absorbentes,Venta Directa,20250530,Zona Centro,3000,SECUREZZA COMFORT M REG (6x6),1,PAK,6,PAQ,"46,32","46,32","7,41","53,73",Factura,Crédito 15 Días,20250614,USD,NA,,GV Ger. Reg. Ce.LLan,MERY S. MOSES,00-0608220,1002057260,Securezza,6,Classic,KG,3024,,3024,Perfumeria,PH-Protector Incont.,INCONTINENCIA,0,5,2025,"46,32","46,32","7,41","53,73",,50000921,Detal,,10000022,30,1,X,02.07.2025 - 08:40:06,,,100082
