Soc.;Proveedor;Nombre;Asignacion;Referencia;Clase Doc;Denominación;Nº doc.;Fecha doc.;Cond. Pago;Desc. Pago;D. Venc.;Fecha Venc;Mon.;Imp Mon Lo;Por Vencer;1 -- 30;31 -- 60;61 -- 90;91 -- 9999;Importe;Importe. M;Gr.tes.;Denominación;Ramo;Descr.Ramo;Ref.fact.;Txt.cabec.;Importe Moneda Fuerte;Moneda;Importe MF Fecha Doc
1000;10000028;HOTEL PIPO INTERNACION;480216;480216;KR;Factura acreedor;1900019849;20.11.2024;NT15;Crédito 15 Días;  445;05.12.2024;VED;-70,2700;0,0000;0,0000;0,0000;0,0000;-70,2700;0,0000;-3221,05;A37;K-Gastos de Viaje;Z028;Hoteles;;00-0398969;-69,93;USD;-70,27
1000;10000039;MACHINERY CARE INTERNA;;;SA;Documento cta.mayor;0100255431;17.09.2024;NT00;Contado;  524;17.09.2024;VED;-80,6000;0,0000;0,0000;0,0000;0,0000;-80,6000;0,0000;-2964,07;A27;K-Repuestos;Z056;Ser. Y Mantenimiento;;;-80,60;USD;-80,60
1000;10000039;MACHINERY CARE INTERNA;006824;006824;RE;Factura bruto;5100022338;08.04.2024;NT00;Contado;  686;08.04.2024;VED;-2,871,0000;0,0000;0,0000;0,0000;0,0000;-2871,0000;0,0000;-104008,87;A27;K-Repuestos;Z056;Ser. Y Mantenimiento;;00-006825;-2863,17;USD;-2871,00
1000;10000039;MACHINERY CARE INTERNA;006840;006840;RE;Factura bruto;5100022422;24.04.2024;NT00;Contado;  670;24.04.2024;VED;-898,9000;0,0000;0,0000;0,0000;0,0000;-898,9000;0,0000;-32708,90;A27;K-Repuestos;Z056;Ser. Y Mantenimiento;;00-006841;-898,03;USD;-898,90
1000;10000039;MACHINERY CARE INTERNA;006839;006839;RE;Factura bruto;5100022423;24.04.2024;NT00;Contado;  670;24.04.2024;VED;-2,871,0000;0,0000;0,0000;0,0000;0,0000;-2871,0000;0,0000;-104469,08;A27;K-Repuestos;Z056;Ser. Y Mantenimiento;;00-006840;-2868,21;USD;-2871,00
1000;10000039;MACHINERY CARE INTERNA;006822;006822;RE;Factura bruto;5100022651;08.04.2024;NT00;Contado;  686;08.04.2024;VED;-960,4000;0,0000;0,0000;0,0000;0,0000;-960,4000;0,0000;-34792,80;A27;K-Repuestos;Z056;Ser. Y Mantenimiento;;00-006823;-952,89;USD;-960,40
1000;10000039;MACHINERY CARE INTERNA;006820;006820;RE;Factura bruto;5100022811;08.04.2024;NT00;Contado;  686;08.04.2024;VED;-970,2000;0,0000;0,0000;0,0000;0,0000;-970,2000;0,0000;-35147,83;A27;K-Repuestos;Z056;Ser. Y Mantenimiento;;00-006821;-965,13;USD;-970,20
1000;10000039;MACHINERY CARE INTERNA;006821;006821;RE;Factura bruto;5100022812;08.04.2024;NT00;Contado;  686;08.04.2024;VED;-970,2000;0,0000;0,0000;0,0000;0,0000;-970,2000;0,0000;-35147,83;A27;K-Repuestos;Z056;Ser. Y Mantenimiento;;00-006822;-965,13;USD;-970,20
1000;10000039;MACHINERY CARE INTERNA;006927;006927;RE;Factura bruto;5100022923;26.06.2024;NT00;Contado;  607;26.06.2024;VED;-2,871,0000;0,0000;0,0000;0,0000;0,0000;-2871,0000;0,0000;-104405,35;A27;K-Repuestos;Z056;Ser. Y Mantenimiento;;00-006929;-2869,68;USD;-2871,00
1000;10000039;MACHINERY CARE INTERNA;006928;006926;RE;Factura bruto;5100022924;26.06.2024;NT00;Contado;  607;26.06.2024;VED;-2,871,0000;0,0000;0,0000;0,0000;0,0000;-2871,0000;0,0000;-104405,35;A27;K-Repuestos;Z056;Ser. Y Mantenimiento;;00-006928;-2869,68;USD;-2871,00
1000;10000042;MINIGRIP DE VENEZUELA,;;;SA;Documento cta.mayor;0100260690;30.10.2024;NT30;Crédito 30 Días;  451;29.11.2024;VED;-180,1200;0,0000;0,0000;0,0000;0,0000;-180,1200;0,0000;-7605,52;A16;K-Material de Empaque;Z055;Material De Empaque;;;-80,03;USD;-180,12
1000;10000043;MOORE DE VENEZUELA, S.;747846;747846;RE;Factura bruto;5100024025;21.10.2024;NT15;Crédito 15 Días;  475;05.11.2024;VED;-428,4000;0,0000;0,0000;0,0000;0,0000;-428,4000;0,0000;-16780,38;A31;K-Suministros;Z046;Suministros;;00-0341117;-410,48;USD;-428,40
1000;10000043;MOORE DE VENEZUELA, S.;747845;747845;RE;Factura bruto;5100024026;21.10.2024;NT15;Crédito 15 Días;  475;05.11.2024;VED;-196,3500;0,0000;0,0000;0,0000;0,0000;-196,3500;0,0000;-7691,02;A31;K-Suministros;Z046;Suministros;;00-0341116;-188,14;USD;-196,35
1000;10000043;MOORE DE VENEZUELA, S.;747853;747853;RE;Factura bruto;5100024027;22.10.2024;NT15;Crédito 15 Días;  474;06.11.2024;VED;-207,0600;0,0000;0,0000;0,0000;0,0000;-207,0600;0,0000;-8112,87;A31;K-Suministros;Z046;Suministros;;00-0341125;-198,45;USD;-207,06
1000;10000043;MOORE DE VENEZUELA, S.;747824;747824;RE;Factura bruto;5100024028;21.10.2024;NT15;Crédito 15 Días;  475;05.11.2024;VED;-459,0000;0,0000;0,0000;0,0000;0,0000;-459,0000;0,0000;-17978,99;A31;K-Suministros;Z046;Suministros;;00-0341095;-439,80;USD;-459,00
1000;10000043;MOORE DE VENEZUELA, S.;747827;747827;RE;Factura bruto;5100024029;21.10.2024;NT15;Crédito 15 Días;  475;05.11.2024;VED;-192,7800;0,0000;0,0000;0,0000;0,0000;-192,7800;0,0000;-7551,17;A31;K-Suministros;Z046;Suministros;;00-0341098;-184,72;USD;-192,78
1000;10000043;MOORE DE VENEZUELA, S.;747828;747828;RE;Factura bruto;5100024030;21.10.2024;NT15;Crédito 15 Días;  475;05.11.2024;VED;-150,9600;0,0000;0,0000;0,0000;0,0000;-150,9600;0,0000;-5913,09;A31;K-Suministros;Z046;Suministros;;00-0341099;-144,64;USD;-150,96
